N	x	f(x)
1	1.0	320.76
2	1.5	325.14
3	2.0	330.03
4	2.5	335.45
5	3.0	341.39
6	3.5	347.88
7	4.0	354.92
8	4.5	362.51
9	5.0	370.66
10	5.5	379.38
11	6.0	388.68
12	6.5	398.56
13	7.0	409.03
14	7.5	420.10
15	8.0	431.77
16	8.5	444.06
17	9.0	456.97
18	9.5	470.51
19	10.0	484.68
20	10.5	499.50
21	10.9	514.96
22	11.4	531.08
23	11.9	547.87
24	12.4	565.33
25	12.9	583.47
26	13.4	602.30
27	13.9	621.82
28	14.4	642.05
29	14.9	662.98
30	15.4	684.63
31	15.9	707.01
32	16.4	730.11
33	16.9	753.96
34	17.4	778.55
35	17.9	803.89
36	18.4	830.00
37	18.9	856.87
38	19.4	884.52
39	19.9	912.95
40	20.4	942.18
41	20.9	972.20
42	21.4	1003.02
43	21.9	1034.66
44	22.4	1067.12
45	22.9	1100.41
46	23.4	1134.53
47	23.9	1169.50
48	24.4	1205.31
49	24.9	1241.98
50	25.4	1279.52
51	25.9	1317.92
52	26.4	1357.21
53	26.9	1397.38
54	27.4	1438.45
55	27.9	1480.42
56	28.4	1523.29
57	28.9	1567.09
58	29.4	1611.80
59	29.9	1657.45
60	30.4	1704.04
61	30.8	1751.57
62	31.3	1800.05
63	31.8	1849.50
64	32.3	1899.91
65	32.8	1951.30
66	33.3	2003.67
67	33.8	2057.03
68	34.3	2111.39
69	34.8	2166.75
70	35.3	2223.13
71	35.8	2280.52
72	36.3	2338.95
73	36.8	2398.40
74	37.3	2458.90
75	37.8	2520.45
76	38.3	2583.05
77	38.8	2646.72
78	39.3	2711.46
79	39.8	2777.27
80	40.3	2844.18
81	40.8	2912.17
82	41.3	2981.27
83	41.8	3051.48
84	42.3	3122.80
85	42.8	3195.24
86	43.3	3268.82
87	43.8	3343.53
88	44.3	3419.39
89	44.8	3496.40
90	45.3	3574.57
91	45.8	3653.91
92	46.3	3734.42
93	46.8	3816.12
94	47.3	3899.00
95	47.8	3983.08
96	48.3	4068.37
97	48.8	4154.86
98	49.3	4242.58
99	49.8	4331.52
100	50.3	4421.70
101	50.7	4513.12
102	51.2	4605.78
103	51.7	4699.70
104	52.2	4794.89
105	52.7	4891.34
106	53.2	4989.08
107	53.7	5088.10
108	54.2	5188.41
109	54.7	5290.02
110	55.2	5392.94
111	55.7	5497.18
112	56.2	5602.74
113	56.7	5709.63
114	57.2	5817.85
115	57.7	5927.42
116	58.2	6038.34
117	58.7	6150.62
118	59.2	6264.27
119	59.7	6379.29
120	60.2	6495.70
121	60.7	6613.49
122	61.2	6732.68
123	61.7	6853.27
124	62.2	6975.28
125	62.7	7098.70
126	63.2	7223.55
127	63.7	7349.83
128	64.2	7477.55
129	64.7	7606.72
130	65.2	7737.35
131	65.7	7869.44
132	66.2	8002.99
133	66.7	8138.03
134	67.2	8274.55
135	67.7	8412.57
136	68.2	8552.08
137	68.7	8693.10
138	69.2	8835.64
139	69.7	8979.69
140	70.2	9125.28
141	70.6	9272.40
142	71.1	9421.07
143	71.6	9571.29
144	72.1	9723.07
145	72.6	9876.41
146	73.1	10031.33
147	73.6	10187.83
148	74.1	10345.91
149	74.6	10505.59
150	75.1	10666.88
151	75.6	10829.78
152	76.1	10994.29
153	76.6	11160.43
154	77.1	11328.20
155	77.6	11497.62
156	78.1	11668.68
157	78.6	11841.39
158	79.1	12015.77
159	79.6	12191.82
160	80.1	12369.54
161	80.6	12548.95
162	81.1	12730.05
163	81.6	12912.85
164	82.1	13097.35
165	82.6	13283.57
166	83.1	13471.52
167	83.6	13661.19
168	84.1	13852.59
169	84.6	14045.74
170	85.1	14240.64
171	85.6	14437.30
172	86.1	14635.73
173	86.6	14835.93
174	87.1	15037.90
175	87.6	15241.67
176	88.1	15447.23
177	88.6	15654.60
178	89.1	15863.77
179	89.6	16074.76
180	90.1	16287.58
181	90.5	16502.23
182	91.0	16718.72
183	91.5	16937.05
184	92.0	17157.24
185	92.5	17379.29
186	93.0	17603.21
187	93.5	17829.01
188	94.0	18056.69
189	94.5	18286.27
190	95.0	18517.74
191	95.5	18751.11
192	96.0	18986.40
193	96.5	19223.62
194	97.0	19462.76
195	97.5	19703.83
196	98.0	19946.85
197	98.5	20191.82
198	99.0	20438.74
199	99.5	20687.64
200	100.0	20938.50
RE-22, Kraevskiy
